unidade;ano;mes;funcionarios
MOV;2022;12;938
MOV;2023;1;940
MOV;2023;2;934
MOV;2023;3;939
MOV;2023;4;934
MOV;2023;5;924
MOV;2023;6;924
MOV;2023;7;925
MOV;2023;8;916
MOV;2023;9;924
MOV;2023;10;921
MOV;2023;11;917
MOV;2023;12;912
MOV;2024;1;918
MOV;2024;2;923
MOV;2024;3;909
MOV;2024;4;928
MOV;2024;5;926
MOV;2024;6;924
MOV;2024;7;920
MOV;2024;8;939
MOV;2024;9;945
MOV;2024;10;941
MOV;2024;11;933
MOV;2024;12;933
MOV;2025;1;924
MOV;2025;2;924
MOV;2025;3;911
MOV;2025;4;933
MOV;2025;5;990
MOV;2025;6;1008
MOV;2025;7;1018
MOV;2025;8;998
MOV;2025;9;986
MOV;2025;10;934
MOV;2025;11;937
MOV;2025;12;936
